,name,id,jk,activation,gnn_layers,architecture,learning_rate,hidden_channels,selected_extra_feature,target,train_loss,val_loss,eval_loss,best_train_loss,best_val_loss,train_acc,val_acc,eval_accuracy,best_train_accuracy,best_val_accuracy,mean_error,mean_abs_error,std_error,duration
200,divine-sweep-4840,jz7nygr2,cat,elu,5,GAT,0.01,32,noisy_probability,true_labels_all_padded,0.0873027987778186,0.0888562187552452,0.1708625257015228,0.0848674103617668,0.086436316370964,82.02725982666016,81.62638854980469,62.40975189208984,82.63970947265625,82.48670959472656,none,none,none,681.294322011061
1758,lively-sweep-3138,z52i50s1,cat,tanh,5,GAT,0.001,64,predicted_probability,true_labels_all_padded,0.1376988664269447,0.1423004046082496,0.1435412317514419,0.1366708129644394,0.1414182335138321,66.95103454589844,66.7934799194336,65.0771713256836,67.23924255371094,66.91020965576172,none,none,none,948.5822043623776
1785,dainty-sweep-3111,b04x1m2w,cat,tanh,5,GAT,0.01,32,true_probability,true_labels_all_padded,0.0829967871308326,0.0849842965602874,0.1757612526416778,0.077389046549797,0.0791874751448631,76.32792663574219,76.92274475097656,70.00129699707031,86.50748443603516,86.71479797363281,none,none,none,677.234595417045
4756,ancient-sweep-29,0izhuccf,cat,,5,GAT,0.001,0,None (uniform),true_labels_all_padded,0.2474022448062896,0.2598674833774567,0.2578330636024475,0.2465864866971969,0.259202629327774,34.93817901611328,34.63749694824219,34.07980728149414,35.64141082763672,35.333534240722656,none,none,none,1728.687280307524
3176,solar-sweep-1708,mp7x387h,none,relu,5,GATLinNet,0.01,128,noisy_probability,true_labels_all_padded,0.0639228023588657,0.066063766926527,0.1481223702430725,0.0621664933860302,0.0646765753626823,90.62599182128906,90.37654876708984,71.36310577392578,90.9386978149414,90.6791763305664,none,none,none,1206.598910964909
1629,vivid-sweep-3362,9jpezkmb,none,tanh,5,GATLinNet,0.01,16,predicted_probability,true_labels_all_padded,0.1077203169465065,0.1127908788621425,0.114203467965126,0.1069810390472412,0.1121713370084762,77.45338439941406,76.66767883300781,75.79438781738281,77.6479263305664,76.79737091064453,none,none,none,477.22968922322616
1630,absurd-sweep-3363,8b15e3ci,none,tanh,5,GATLinNet,0.01,16,true_probability,true_labels_all_padded,0.0558484103530645,0.0583131950348615,0.1688717305660247,0.0543339475989341,0.0569421052932739,92.81926727294922,92.46033477783205,72.9670181274414,92.9158172607422,92.74134826660156,none,none,none,476.67035961989313
4771,astral-sweep-14,e1611wii,cat,,5,GAT,0.001,0,None (mixed),true_labels_all_padded,0.116581056267023,0.123216512799263,0.122846782207489,0.1145540326833725,0.1205973252654075,74.12456512451172,73.57658386230469,74.92974853515625,77.19976043701172,76.37369537353516,none,none,none,1036.2889517939184
4768,ancient-sweep-17,qify8k1x,cat,,5,GATLinNet,0.001,0,None (uniform),true_labels_all_padded,0.1049128107726574,0.1182054534554481,0.1174919083714485,0.1043479889631271,0.117110326886177,75.9892807006836,74.70061492919922,74.47581481933594,76.13771057128906,74.85625457763672,none,none,none,979.5360908340664
4781,ruby-sweep-4,9hfv9xbq,cat,,5,GCN,0.01,0,None (mixed),true_labels_all_padded,0.1622500166296959,0.1643202766776084,0.1654519289731979,0.159425601363182,0.1620779633522033,51.242183685302734,51.5455436706543,50.78898620605469,52.072227478027344,52.5009765625,none,none,none,1246.52239492815
4773,lunar-sweep-12,7m8xuwos,cat,,5,GIN,0.0001,0,None (mixed),true_labels_all_padded,0.2289163544774055,0.2295997887849807,0.230614572763443,0.2276286482810974,0.22836335003376,35.83739471435547,36.206825256347656,35.43729019165039,35.83739471435547,36.206825256347656,none,none,none,941.9742592859548
4778,honest-sweep-7,73pvl2ji,cat,,5,GraphSAGE,0.01,0,None (mixed),true_labels_all_padded,0.0977104797959327,0.1040456116199493,0.1043548583984375,0.0951139479875564,0.1012299209833145,74.98054504394531,74.6660385131836,77.9386978149414,80.96953582763672,80.65367126464844,none,none,none,892.2883117124438
4784,dutiful-sweep-1,zgzr5gdv,cat,,5,MLP,0.01,0,None (mixed),true_labels_all_padded,0.1225112274289131,0.1260443136096,0.1226066797971725,0.1179245114326477,0.1208095997571945,72.58552551269531,72.5865707397461,72.9670181274414,74.74420928955078,74.33747100830078,none,none,none,846.0317907733843
4208,polished-sweep-544,1rwydx9v,cat,relu,5,GCN,0.01,64,noisy_probability,true_labels_all_padded,0.1868769720196724,0.1868739292025566,0.2269836515188217,0.1843239665031433,0.1843414306640625,36.90520858764648,37.55998611450195,36.15926742553711,38.091190338134766,38.63214111328125,none,none,none,534.3960197939305
4185,astral-sweep-566,ewi02kvy,cat,relu,5,GCN,0.01,128,predicted_probability,true_labels_all_padded,0.211205318570137,0.2119312807917595,0.2139689326286316,0.2102718353271484,0.2109974920749664,38.09983825683594,38.42462539672851,36.358131408691406,38.09983825683594,38.42462539672851,none,none,none,735.441227751784
4209,charmed-sweep-543,8o21y7ry,cat,relu,5,GCN,0.01,64,true_probability,true_labels_all_padded,0.1765801146626472,0.1764090925455093,0.2356094717979431,0.1741958111524582,0.1739929765462875,39.72966003417969,39.911808013916016,34.81475067138672,41.16782379150391,41.33846282958984,none,none,none,536.7642687099287
4763,celestial-sweep-22,e5wyi4su,cat,,5,GCN,0.01,0,None (uniform),true_labels_all_padded,0.3503500193357468,0.3499585926532745,0.2193038761615753,0.2166993618011474,0.2155373394489288,12.56592845916748,12.60645866394043,37.49513626098633,36.53485870361328,37.05849456787109,none,none,none,941.382023692131
2096,jolly-sweep-2800,2u7nhbnu,cat,tanh,5,GIN,0.01,16,noisy_probability,true_labels_all_padded,0.0805312976241111,0.0820173747837543,0.1752319037914276,0.0796288177371025,0.0810803920030593,79.49534606933594,79.35670471191406,55.74769973754883,80.63953399658203,80.59746551513672,none,none,none,355.4795349929482
2074,charmed-sweep-2822,ntfcr4of,cat,tanh,5,GIN,0.01,32,predicted_probability,true_labels_all_padded,0.1448006942868232,0.1475853994488716,0.1434633433818817,0.1364727616310119,0.1403022855520248,59.40571594238281,59.08088684082031,60.04064178466797,62.50107955932617,62.36651992797851,none,none,none,407.6804784508422
2073,logical-sweep-2823,ye21tugf,cat,tanh,5,GIN,0.01,32,true_probability,true_labels_all_padded,0.0848419293761253,0.0876831986010074,0.1719898879528045,0.0783560574054718,0.0814865976572036,77.13202667236328,77.23401641845703,58.856082916259766,77.88569641113281,77.66633605957031,none,none,none,409.6184102697298
4760,feasible-sweep-25,ip5cxujq,cat,,5,GIN,0.01,0,None (uniform),true_labels_all_padded,0.2195955395698547,0.2203375741839409,0.1718829721212387,0.1687563508749008,0.1697968393564224,43.214111328125,43.51303482055664,55.3499641418457,53.483009338378906,53.88872146606445,none,none,none,566.7487526789773
776,restful-sweep-4264,hhqivz4z,cat,elu,5,GraphSAGE,0.01,32,noisy_probability,true_labels_all_padded,0.0667824730277061,0.0713444471359252,0.1640975624322891,0.0654569864273071,0.0695867761969566,86.90953063964844,86.2003402709961,64.71401977539062,87.122802734375,86.30841827392578,none,none,none,390.10927816201
778,absurd-sweep-4262,j6uyohw8,cat,elu,5,GraphSAGE,0.01,32,predicted_probability,true_labels_all_padded,0.2127052649855613,0.2149574339389801,0.117394708096981,0.1076090559363365,0.1145315170288086,38.7036361694336,38.70563125610352,71.87324523925781,73.6014633178711,73.29125213623047,none,none,none,408.0977698490024
3897,clean-sweep-855,lco2ua9c,cat,relu,5,GraphSAGE,0.01,128,true_probability,true_labels_all_padded,0.0530304506421089,0.0635193560272455,0.1961451172828674,0.0503719113767147,0.0601609237492084,90.49197387695312,89.5767593383789,70.13532257080078,90.760009765625,89.65889739990234,none,none,none,590.0209556324407
4754,glad-sweep-31,5udn5jrt,cat,,5,GraphSAGE,0.01,0,None (uniform),true_labels_all_padded,0.0969436340034008,0.1034814685583114,0.1041225716471672,0.0947631821036338,0.1014043688774108,81.55747985839844,81.31511688232422,78.52233123779297,81.55747985839844,81.31511688232422,none,none,none,506.1051190500147
2911,stellar-sweep-1984,3k4jc61c,cat,tanh,5,MLP,0.01,64,noisy_probability,true_labels_all_padded,0.1627246394753456,0.16653623431921,0.2251888960599899,0.1601403951644897,0.1639488339424133,42.62184143066406,41.654056549072266,36.4013671875,42.93022537231445,42.28092193603515,none,none,none,318.6005825167522
4474,dauntless-sweep-278,zagnn3pa,cat,relu,5,MLP,0.01,128,predicted_probability,true_labels_all_padded,0.1836864247918129,0.1998166635632515,0.1891583502292633,0.1709947288036346,0.1863357275724411,44.01388931274414,41.922096252441406,42.29821395874024,44.97939300537109,43.61246871948242,none,none,none,358.51677478605416
4485,swept-sweep-267,wwoipozf,none,relu,5,MLP,0.01,128,true_probability,true_labels_all_padded,0.1200168170034885,0.1340244978666305,0.2457111626863479,0.1160432919859886,0.1290367543697357,54.50759506225586,52.58743667602539,39.75185012817383,55.73824691772461,53.22726821899414,none,none,none,359.6687596132979
4766,dainty-sweep-19,bnw0pl3m,cat,,5,MLP,0.01,0,None (uniform),true_labels_all_padded,0.2904963910579681,0.3043930232524872,0.2841813266277313,0.2724355459213257,0.2819580435752868,21.094043731689453,20.651939392089844,21.22260093688965,22.39674949645996,21.91863822937012,none,none,none,388.0568235190585
