,name,id,jk,activation,gnn_layers,architecture,learning_rate,hidden_channels,selected_extra_feature,target,train_loss,val_loss,eval_loss,best_train_loss,best_val_loss,train_acc,val_acc,eval_accuracy,best_train_accuracy,best_val_accuracy,mean_error,mean_abs_error,std_error,duration
0,vocal-sweep-5171,j3zmpion,none,elu,5,GATLinNet,0.0001,128,true_probability,true_labels_all_padded,0.07920057252049446,0.08121300116181374,0.18475911021232605,0.07908506691455841,0.08109081536531448,81.59927368164062,81.54856872558594,65.55272674560547,81.59927368164062,81.54856872558594,none,none,none,1207.007814846933
1,chocolate-sweep-5172,7q0ksenl,none,elu,5,GATLinNet,0.0001,128,noisy_probability,true_labels_all_padded,0.0914323352277279,0.09237357005476952,0.18484726548194885,0.09129154682159424,0.09223788976669312,80.4983139038086,80.35104370117188,59.15870666503906,80.4983139038086,80.35104370117188,none,none,none,1189.5526063460857
2,valiant-sweep-5170,m398a4jo,none,elu,5,GATLinNet,0.0001,128,predicted_probability,true_labels_all_padded,0.14471531361341478,0.1463201016187668,0.14968623220920563,0.14434097707271576,0.14582818746566772,65.69876861572266,65.63053894042969,64.5324478149414,66.62247467041016,66.47789001464844,none,none,none,1181.5990599410145
3,smart-sweep-5169,4oy32vo7,none,elu,5,GATLinNet,0.0001,128,none,true_labels_all_padded,0.17622123956680297,0.177976992726326,0.1776547729969025,0.17279689013957977,0.17511866986751556,55.47165298461914,55.665557861328125,57.05330276489258,57.891170501708984,57.79689407348633,none,none,none,1179.1143405907787
4,fancy-sweep-5168,k93e1v3j,none,elu,5,GATLinNet,0.001,128,noisy_probability,true_labels_all_padded,0.0681519329547882,0.07183603420853615,0.16208961606025696,0.06770871579647064,0.07139541208744049,88.3736343383789,87.78695678710938,68.22445678710938,88.94429016113281,88.27115631103516,none,none,none,1187.0939154317605
5,lunar-sweep-5167,9256732i,none,elu,5,GATLinNet,0.001,128,true_probability,true_labels_all_padded,0.061772722750902176,0.06532945185899734,0.1774219423532486,0.06110601872205734,0.06434883177280426,89.85791015625,89.06661987304688,71.04751586914062,89.85791015625,89.10985565185547,none,none,none,1180.0504268715158
6,astral-sweep-5166,jnbyc2yf,none,elu,5,GATLinNet,0.001,128,predicted_probability,true_labels_all_padded,0.1224241942167282,0.12726530879735948,0.12924699485301971,0.12226609885692596,0.12695381045341492,70.38504791259766,70.03156280517578,70.45523834228516,72.38089752197266,72.23639678955078,none,none,none,1179.3778464810457
7,desert-sweep-5164,6onodwf5,none,elu,5,GATLinNet,0.01,128,noisy_probability,true_labels_all_padded,0.07402184009552001,0.07540920823812484,0.1609712839126587,0.07302208244800568,0.074491485953331,86.6559066772461,86.33868408203125,66.40007019042969,87.1069564819336,86.70182800292969,none,none,none,1182.2642553998155
8,stilted-sweep-5165,99td82bi,none,elu,5,GATLinNet,0.001,128,none,true_labels_all_padded,0.1406599387526512,0.14480103701353073,0.1460731476545334,0.13960745930671692,0.1435907930135727,65.78523254394531,65.29765319824219,64.54973602294922,66.19880676269531,65.74726867675781,none,none,none,1179.1550627294928
9,radiant-sweep-5163,6r839upb,none,elu,5,GATLinNet,0.01,128,true_probability,true_labels_all_padded,0.06647365018725396,0.06886963099241257,0.17257548868656158,0.0661914050579071,0.06862689554691315,89.41118621826172,89.01041412353516,70.02723693847656,89.41118621826172,89.01041412353516,none,none,none,1181.5276636127385
10,frosty-sweep-5161,ltwr8b35,none,elu,5,GATLinNet,0.01,128,none,true_labels_all_padded,0.15906389504671098,0.16284283846616746,0.1632285118103027,0.15805688500404358,0.16183608770370483,63.73749923706055,63.77588653564453,61.769920349121094,63.73749923706055,63.77588653564453,none,none,none,1203.845046458766
11,super-sweep-5162,r3zdshan,none,elu,5,GATLinNet,0.01,128,predicted_probability,true_labels_all_padded,0.5229058146476746,0.5234544038772583,0.13407500088214874,0.12922757863998413,0.13217121362686157,0.0,0.0,69.72461700439453,71.0911636352539,71.0431900024414,none,none,none,1181.4027003261726
12,playful-sweep-5148,uiyfquwk,none,elu,5,GATLinNet,0.0001,64,noisy_probability,true_labels_all_padded,0.09118586108088492,0.0919308640062809,0.18218761682510376,0.09104116261005402,0.09179149568080902,81.4090576171875,81.32808685302734,61.90826416015625,81.4090576171875,81.32808685302734,none,none,none,800.9209639243782
13,atomic-sweep-5147,4opvdqdx,none,elu,5,GATLinNet,0.0001,64,true_probability,true_labels_all_padded,0.0778290443122387,0.0797340527176857,0.17991666495800018,0.07774065434932709,0.07965435832738876,83.48272705078125,83.19570922851562,66.5124740600586,83.48272705078125,83.19570922851562,none,none,none,776.9957109680399
14,dutiful-sweep-5146,axal03xg,none,elu,5,GATLinNet,0.0001,64,predicted_probability,true_labels_all_padded,0.14900020360946656,0.14977053105831145,0.15395285189151764,0.14887523651123047,0.14964154362678528,65.3889389038086,65.2544174194336,64.7615737915039,65.41199493408203,65.2544174194336,none,none,none,785.2609058599919
15,peachy-sweep-5145,0d7y2r7b,none,elu,5,GATLinNet,0.0001,64,none,true_labels_all_padded,0.17016204744577407,0.17296330034732818,0.1744452863931656,0.16994981467723846,0.1727169156074524,58.24855041503906,58.371883392333984,57.20461654663086,58.474796295166016,58.57074737548828,none,none,none,784.5530335363001
16,efficient-sweep-5141,c57pegfa,none,elu,5,GATLinNet,0.001,64,none,true_labels_all_padded,0.14530476033687592,0.14884043037891387,0.14913557469844818,0.14312517642974854,0.14689525961875916,61.78055953979492,61.63157653808594,62.94150924682617,64.11937713623047,63.67645263671875,none,none,none,778.1161357555538
17,swift-sweep-5142,2lnrv8fb,none,elu,5,GATLinNet,0.001,64,predicted_probability,true_labels_all_padded,0.12183743417263032,0.124618511646986,0.1273006647825241,0.1216256245970726,0.12432771921157836,71.86644744873047,71.50144958496094,71.07777404785156,72.3520736694336,72.22342681884766,none,none,none,790.5320636257529
18,ruby-sweep-5143,nvi4y6x2,none,elu,5,GATLinNet,0.001,64,true_probability,true_labels_all_padded,0.06188541427254677,0.06445543318986893,0.16831053793430328,0.06021276116371155,0.06289442628622055,89.9631118774414,89.33898162841797,71.36310577392578,90.32769012451172,89.84912109375,none,none,none,785.5685218800791
19,genial-sweep-5144,wdfz2saj,none,elu,5,GATLinNet,0.001,64,noisy_probability,true_labels_all_padded,0.0713371679186821,0.07324010729789734,0.1671714335680008,0.07083772867918015,0.07277597486972809,87.26690673828125,86.61968994140625,66.87994384765625,88.36210632324219,87.84315490722656,none,none,none,780.8552557299845
